City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
122,Lorengau,PG,2022-06-01 16:09:56,-2.0226,147.2712,78.49,79,15,3.33
123,Dalianwan,CN,2022-06-01 16:09:56,39.0286,121.695,69.84,52,0,6.71
124,Vila Franca Do Campo,PT,2022-06-01 16:09:57,37.7167,-25.4333,64.81,72,49,12.01
125,Zdzieszowice,PL,2022-06-01 16:09:57,50.4248,18.1235,73.51,52,63,6.31
126,Talara,PE,2022-06-01 16:09:57,-4.5772,-81.2719,75.96,53,0,17.27
127,Peto,MX,2022-06-01 16:09:58,20.1333,-88.9167,73.56,97,100,3.85
128,Kieta,PG,2022-06-01 16:09:58,-6.2167,155.6333,77.41,84,88,5.61
129,Outlook,CA,2022-06-01 16:09:59,51.5001,-107.0513,60.24,32,1,15.59
130,Isla Mujeres,MX,2022-06-01 16:09:59,21.2311,-86.731,78.85,91,100,25.61
131,Kodinsk,RU,2022-06-01 16:09:59,58.6881,99.1844,52.29,76,100,3.53
132,Santa Vitoria Do Palmar,BR,2022-06-01 16:07:35,-33.5189,-53.3681,50.94,53,100,5.48
133,Hit,IQ,2022-06-01 16:10:00,33.6416,42.8251,101.98,7,0,7.09
134,Udachnyy,RU,2022-06-01 16:10:01,66.4167,112.4,55.45,34,93,8.05
135,Ponta Do Sol,PT,2022-06-01 16:10:01,32.6667,-17.1,74.03,66,20,9.8
136,Port Blair,IN,2022-06-01 16:10:02,11.6667,92.75,82.22,80,100,10.8
137,The Pas,CA,2022-06-01 16:10:03,53.8251,-101.2541,43.59,70,100,18.81
138,Chase,CA,2022-06-01 16:10:03,50.8165,-119.6857,60.03,75,100,2.66
139,Jagdalpur,IN,2022-06-01 16:10:04,19.0667,82.0333,84.78,41,87,6.96
140,Ayorou,NE,2022-06-01 16:10:05,14.7308,0.9174,108.32,10,88,4.99
141,Parabel,RU,2022-06-01 16:10:05,58.6978,81.4825,45.86,75,94,7.56
142,Kavieng,PG,2022-06-01 16:10:06,-2.5744,150.7967,80.11,67,43,1.41
143,Tambacounda,SN,2022-06-01 16:10:07,13.7539,-13.7586,104.32,22,1,3.22
144,Inuvik,CA,2022-06-01 16:11:07,68.3499,-133.7218,45.91,61,93,14.43
145,Bengkulu,ID,2022-06-01 16:11:08,-3.8004,102.2655,76.37,90,80,3.94
146,Dubuque,US,2022-06-01 16:11:08,42.4833,-90.8668,64.99,47,0,13.8
147,Tuktoyaktuk,CA,2022-06-01 16:11:09,69.4541,-133.0374,37.65,72,62,11.79
148,New Norfolk,AU,2022-06-01 16:11:10,-42.7826,147.0587,42.3,81,19,2.64
149,Bekobod,UZ,2022-06-01 16:11:10,40.2208,69.2697,76.69,30,0,2.42
150,Muisne,EC,2022-06-01 16:11:10,0.6,-80.0333,78.08,83,100,8.68
151,Sur,OM,2022-06-01 16:11:11,22.5667,59.5289,88.11,52,0,15.43
152,Thompson,CA,2022-06-01 16:11:11,55.7435,-97.8558,34.97,97,100,13.65
153,Maputo,MZ,2022-06-01 16:09:10,-25.9653,32.5892,67.68,63,20,3.44
154,Kaeo,NZ,2022-06-01 16:11:12,-35.1,173.7833,62.67,87,100,12.26
155,Oktyabrskoye,RU,2022-06-01 16:11:12,43.0645,44.7417,73.54,53,75,6.71
156,Tiksi,RU,2022-06-01 16:11:13,71.6872,128.8694,31.1,88,100,3.38
157,Cap Malheureux,MU,2022-06-01 16:11:13,-19.9842,57.6142,74.46,64,16,3.0
158,Kankon,IN,2022-06-01 16:11:14,15.0167,74.0167,81.82,78,77,10.33
159,Hamilton,US,2022-06-01 16:06:34,39.1834,-84.5333,87.94,62,20,12.66
160,Cape Town,ZA,2022-06-01 16:10:19,-33.9258,18.4232,63.12,77,12,2.62
161,Hue,VN,2022-06-01 16:10:56,16.4667,107.6,82.51,78,20,2.3
162,Kununurra,AU,2022-06-01 16:06:21,-15.7667,128.7333,78.78,83,100,4.61
163,Mattru,SL,2022-06-01 16:11:15,7.6244,-11.8332,82.4,79,83,5.17
164,Bredasdorp,ZA,2022-06-01 16:11:15,-34.5322,20.0403,56.61,86,47,5.19
165,Russell,US,2022-06-01 16:11:16,32.3502,-85.1999,86.92,49,0,4.99
166,Norman Wells,CA,2022-06-01 16:11:16,65.282,-126.8329,55.27,65,100,2.01
167,Rolla,US,2022-06-01 16:11:17,37.9514,-91.7713,68.52,94,100,4.0
168,Cauquenes,CL,2022-06-01 16:11:17,-35.9671,-72.3225,48.61,47,8,0.58
169,Cherskiy,RU,2022-06-01 16:11:17,68.75,161.3,55.33,55,100,9.42
